INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] ---  w: got web module ) 
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] core 2105.20 [p*cib]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] commons 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] deliveryzone 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] maintenanceweb 2105.20 [p*w]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] mediaweb 2105.20 [p*cw]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] paymentstandard 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.638 | INFO  [localhost-startStop-9] [hybrisserver] scripting 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] processing->(scripting,commons) 2105.20 [p*cibw]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] impex->processing 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] testweb 2105.20 [p*w]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] validation->impex 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] catalog->validation 2105.20 [p*cib]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] advancedsavedquery->catalog 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] europe1->catalog 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] platformservices->(paymentstandard,deliveryzone,europe1) 2105.20 [p*cb]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] hac->platformservices 2105.20 [p*cw]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] oauth2->platformservices 2105.20 [p*cibw]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] workflow->(catalog,platformservices) 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] comments->workflow 2105.20 [p*ci]
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] adminapi 2105.20 [cibw] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/platform/adminapi
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] apiregistryservices 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/api-registry/apiregistryservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] auditreportservices 2105.20 [ci] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/platform/auditreportservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] backoffice->auditreportservices 2105.20 [ciw] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/backoffice-framework/backoffice
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] MerkleExtension->backoffice 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/custom/MerkleExtension
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] basecommerce->apiregistryservices 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/base-commerce/basecommerce
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] chinesestoreservices->basecommerce 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/china-accelerator-addons/chinesestoreservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] chinesetaxinvoiceservices 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/china-accelerator-tax-invoice/chinesetaxinvoiceservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] chinesetaxinvoicebackoffice->(backoffice,chinesetaxinvoiceservices) 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/china-accelerator-tax-invoice/chinesetaxinvoicebackoffice
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] classificationgroupsservices 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/backoffice-applications/classificationgroupsservices
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] cms2->basecommerce 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/web-content-management-system/cms2
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] cms2lib->cms2 2105.20 [ci] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/web-content-management-system/cms2lib
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] cmsbackoffice->(backoffice,cms2) 2105.20 [cib] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/web-content-management-system/cmsbackoffice
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] @deprecated cockpit 2105.20 [ci] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/cockpit-core/deprecated/cockpit
INFO   | jvm 1    | main    | 2024/04/08 09:32:16.639 | INFO  [localhost-startStop-9] [hybrisserver] @deprecated admincockpit->cockpit 2105.20 [ciw] path:/Users/tbolli01/abschluss/BackofficeExtensionIPA/hybris-commerce-suite-2105.20/hybris/bin/modules/cockpit-applications/deprecated/admincockpit
